Type,Acronym,Organization Name,Logo,Emails,Instagram Handle,Instagram,Website / Main Online Info Page,LinkTree,Facebook,LinkedIn,Tiktok,Twitter,YouTube,GitHub,Teams,Discord,Mailing List
Group,,HealthHatch,HealthHatch.jpg,machealthhatch@outlook.com,machealthhatch,https://www.instagram.com/machealthhatch,,,,,,,,,,,
Group,HCSC,"Heavy Construction Student Chapter, McMaster",HCSC.jpg,HCSC@McMaster.ca,mcmasterhcsc,https://www.instagram.com/mcmasterhcsc,,https://linktr.ee/HCSC.McMaster,,https://www.linkedin.com/in/mcmasterhcsc/?originalSubdomain=ca,,https://twitter.com/mcmasterhcsc?lang=en,,,,,
Group,IEEE,"Institute of Electrical and Electronics Engineers, McMaster Student Branch",,sb.mcmaster@ieee.org,mcmaster_ieee,https://www.instagram.com/mcmaster_ieee,https://www.ieeemcmaster.ca/,https://linktr.ee/ieeesb_mac,https://www.facebook.com/mcmasterIEEE,https://www.linkedin.com/company/mcmasterieee,,,,,,https://discord.com/invite/5S5pBy46dW,
Group,ITE,"Institute of Transportation Engineers Student Chapter, McMaster",ITE.png,itemac@mcmaster.ca,ite_mcmaster,https://www.instagram.com/ite_mcmaster,http://itemcmaster.ca/,https://linktr.ee/ITEMcMaster,https://www.facebook.com/ITEMcMaster/,https://www.linkedin.com/company/ite-mcmaster-student-chapter,,,,,,,
Group,,"Leading Edge, McMaster",,macleadingedge@gmail.com,leadingedge_mcmaster,https://www.instagram.com/leadingedge_mcmaster,https://leadingedgemcmaster.github.io/,,,,,,,,,,
Group,Fireball Rugby,Mac Eng Rugby,,,macengrugby,https://www.instagram.com/macengrugby,,https://linktr.ee/macengrugby,,,,,,,,,
Group,MMRT,"Mars Rover Team, McMaster",MMRT.jpg,marsatmac@gmail.com,marsatmac,https://www.instagram.com/marsatmac,https://www.marsatmac.ca/,,https://www.facebook.com/MacMarsRover,https://www.linkedin.com/company/marsatmac,,,https://www.youtube.com/channel/UCtD_canFd25t0eLZflNwziA/playlists,https://github.com/MacRover,,,
Group,,McMaster Engineering Hockey Club,,macenghockey@gmail.com,,,,,,,,,,,,,
Group,MECVT,McMaster Engineering Custom Vehicle Team,MECVT.jpg,the.mecvt@gmail.com,mcmaster_mecvt,https://www.instagram.com/mcmaster_mecvt,mecvt.ca,,,,,,,,,,
Group,MacSER,McMaster Society for Engineering Research,MACSER.png,macser@mcmaster.ca,mcmasterser,https://www.instagram.com/mcmasterser,,https://linktr.ee/mcmasterser,,,,,https://www.youtube.com/channel/UCPxc9qM7C1A2CMVwcPEhWEw,,,https://discord.com/invite/HAXpkWQB33,
Group,MED-T,"Medical Engineering Design Team, McMaster",MED-T.png,macmed.t@gmail.com,macmed_t,https://www.instagram.com/macmed_t,http://macmedt.com/,https://linktr.ee/medt,,,,,,,,,https://docs.google.com/forms/d/e/1FAIpQLScGTLBKUM-PAhLtiwF_nrc_lfFGdj5xpDAQg4E-dJYRE0B3bA/viewform
Group,NSBE,"National Society of Black Engineers, McMaster Chapter",NSBE.png,pres.nsbemac@gmail.com,nsbemac,https://www.instagram.com/nsbemac,https://www.nsbemcmaster.ca/,https://linktr.ee/NSBEMac,,,,,,,,,
Group,NAYGN,"North American Young Generation in Nuclear, McMaster",NAYGN.png,naygn@mcmaster.ca,naygn_mcmaster,https://www.instagram.com/naygn_mcmaster,,https://linktr.ee/NAYGNMac,,https://ca.linkedin.com/company/north-american-young-generation-in-nuclear-mcmaster-chapter,,,,,,,https://forms.office.com/pages/responsepage.aspx?id=B2M3RCm0rUKMJSjNSW9HcklcNYhZ359OnY9SSRiTwK1UQlFOV1YxWENQRDdESDVTUFFGWDhaQzJFQS4u
Group,MPC,"Pumpkin Chunkin Club, McMaster Engineering",,mcmasterchunkin@gmail.com,mcmasterchunkin,https://www.instagram.com/mcmasterchunkin,,,,,,,,,,,
Group,,"Start Coding, McMaster",,cs4you@mcmaster.ca,macstartcoding,https://www.instagram.com/macstartcoding,http://outreach.mcmaster.ca/,https://linktr.ee/MacStartCoding,,,,,,,,,
Group,WiE,"Women in Engineering, McMaster",WIE.png,wes@mcmaster.ca,mcmasterwie,https://www.instagram.com/mcmasterwie,https://www.mcmasterwie.com/,https://linktr.ee/Mcmasterwie,,,,,,,,,
Team,,"Baja Racing, McMaster",Baja.jpg,mcmasterbaja@gmail.com,mcmasterbaja,https://www.instagram.com/mcmasterbaja,https://mcmasterbaja.ca/,,,,,,,,,,
Team,,"Chem E Car, McMaster",,macchemecar@gmail.com,mcmasterchemecar,https://www.instagram.com/mcmasterchemecar,https://macchecar.wixsite.com/mcmasterchemecar,,,,,,,,,,
Team,MCP,"Competitive Programming, McMaster",,contact-us@mcp-team.com,maccpteam,https://www.instagram.com/maccpteam,www.mcp-team.com,,,,,,,,,https://discord.gg/qNyrXycNnV,
Team,MECTT,"Concrete Toboggan, McMaster",MECTT.webp,maceng.concrete@gmail.com,getmectt,https://www.instagram.com/getmectt,https://mectt.com/,https://linktr.ee/getmectt,,,,,,,,,
Team,,"EcoCar, McMaster",,ecocar@mcmaster.ca,macengecocar,https://www.instagram.com/macengecocar,https://www.macecocar.ca/,,https://www.facebook.com/MacEngEcoCARChallenge/,https://www.linkedin.com/company/mcmaster-engineering-ecocar/,https://www.tiktok.com/@macecocar,https://twitter.com/macengecocar?lang=en,,,,,
Team,MACFE,"Formula Electric, McMaster",FE.png,formula@mcmaster.ca,macformulaelectric,https://www.instagram.com/macformulaelectric,https://macformularacing.com/,https://linktr.ee/macformularacing,https://www.facebook.com/MACFormulaElectric/,https://www.linkedin.com/company/mac-formula-electric/,,,,,,,
Team,MCAHN,"Mechanical Contractors Association Hamilton Niagara, McMaster Student Chapter",,mcahnteam@gmail.com,,,,,,,,,,,,,
Team,,"RoboMaster Team, McMaster",RoboMaster.png,macrobomaster@gmail.com,macrobomaster,https://www.instagram.com/macrobomaster,http://macrobomaster.com/,,,,,,,,,,
Team,,"Rocketry, McMaster",Rocketry.jpg,mcmaster.rocketry@gmail.com,mcmasterrocketry,https://www.instagram.com/mcmasterrocketry,https://www.macrocketry.ca/,,,,,,,,,,
Team,MSDT,"Seismic Design Team, McMaster",MSDT.jpg,"msdt@mcmaster.ca 
",mcmasterseismic,https://www.instagram.com/mcmasterseismic,https://mcmastersdt.github.io/McMasterSDT/,https://linktr.ee/mcmasterseismic/,https://www.facebook.com/McMasterSDT,https://www.linkedin.com/company/seismic-design-team/,,,,,https://teams.microsoft.com/l/channel/19%3aNHhIrsgUm_958dEPZmjo7EN6I1KlxFFLyrRrNVENK1M1%40thread.tacv2/General?groupId=0c4791d1-f1be-433d-8e57-46e5230efb5a&tenantId=44376307-b429-42ad-8c25-28cd496f4772,,
Team,,"Solar Car, McMaster",Solar.webp,macsolarcar@gmail.com,macsolarcar,https://www.instagram.com/macsolarcar,https://www.mcmastersolarcar.com/#/,https://linktr.ee/mcmastersolarcar,,https://www.linkedin.com/company/mcmaster-solar-car-project,,,,,,,
Team,MSBT,"Steel Bridge Team, McMaster",MSBT.jpg,steelbridge.mcmaster@gmail.com,mcmastersteelbridge,https://www.instagram.com/mcmastersteelbridge,,https://linktr.ee/mcmastersteelbridge,https://www.facebook.com/mcmastersteelbridge,,,,,,https://teams.microsoft.com/l/team/19%3a9b0fc91305c64d119bd4a85c227577c7%40thread.tacv2/conversations?groupId=6489c1b8-6a8c-48f6-8bab-bcaa0d3f2842&tenantId=44376307-b429-42ad-8c25-28cd496f4772,,
Affiliate,MAST,"Aerospace Team, McMaster",MAST.png,mcmaster.aerospace@gmail.com,macaerospace,https://www.instagram.com/macaerospace,https://mcmasteraerospace.com/,https://linktr.ee/macaerospace,,https://www.linkedin.com/company/macaerospace,,,,,,,
Affiliate,AISES,"American Indigenous Science and Engineering Society, McMaster Chapter",,AISES@mcmaster.ca,mcmasteraises,https://www.instagram.com/mcmasteraises,,,,,,,,,,,
Affiliate,,"Autoplow, McMaster",,macautoplow@gmail.com,,,https://sites.google.com/view/autoplow/home?pli=1,,,,,,,,,,
Affiliate,,"Blockchain Club, McMaster",,mcmasterblockchain@gmail.com,macblockchain,https://www.instagram.com/macblockchain,,,,,,,,,,,
Affiliate,,"Concrete Canoe, McMaster",,mcmastercanoe@gmail.com,mcmasterconcretecanoe,https://www.instagram.com/mcmasterconcretecanoe,,,,,,,,,,,
Affiliate,,"Engineering Jazz Band, McMaster",,macengjazz@outlook.com,macengjazz,https://www.instagram.com/macengjazz,,,,,,,,,,,
Affiliate,MEwD,"McMaster Engineers with Disabilities",,mewd@mcmaster.ca,mcmasterewd,https://www.instagram.com/mcmasterewd,,https://linktr.ee/mcmasterewd,,,,,,,,,
Affiliate,,MacSmiths,,iglesiav@mcmaster.ca,,,,,,,,,,,,,
Affiliate,,Mac Quantum Club,,macquantumclub@gmail.com,macquantumclub,https://www.instagram.com/macquantumclub,,,,,,,,,,,
Affiliate,MIST,McMaster Interdisciplinary Satellite Team,,neudose@gmail.com,mcmastersatellite,https://www.instagram.com/mcmastersatellite,https://mcmasterneudose.ca/,https://linktr.ee/NEUDOSE,https://www.facebook.com/mcmasterneudose/,https://ca.linkedin.com/company/mcmaster-neudose,,https://twitter.com/neudose?lang=en,,,,,
Affiliate,MEA,McMaster Energy Association,,mues@mcmaster.ca,mcmasterenergyassociation,https://www.instagram.com/mcmasterenergyassociation,https://www.mcmasterenergyweek.com/,https://linktr.ee/McMasterEnergyAssociation,https://www.facebook.com/McMasterEnergyAssociation,,,,,,,https://discord.com/invite/SeeDZFGwdt,https://mcmasterenergyweek.us19.list-manage.com/subscribe?u=e70a3b40ca9e644ca4820e65a&id=2fba604bb5
Affiliate,,"Sumobot, McMaster",,cr_sbot@mcmaster.ca,mac_sumobot,https://www.instagram.com/mac_sumobot,https://www.sumobot.ca/,https://linktr.ee/McMasterSumobot,,,,,,,,https://discord.com/invite/YnZvKqGPkw,
